trajectory_id,regime,offset_before_crossing_s,t_cross,actual_t,crossing_sign,termination_reason,alpha,V,gamma,pitch_rate,elevator,stall_margin
traj_0297,stall,2.0,2.52,0.52,-1.0,validity_envelope_gamma_exceeded,-0.17215747443318458,31.435327038339285,8.794503509095763e-14,-8.313088277995045e-14,-0.05379921076039159,0.4525975723524336
traj_0297,stall,1.0,2.52,1.52,-1.0,validity_envelope_gamma_exceeded,-0.16113600303734849,31.439793910977613,-0.001156866668757709,0.1435107233783761,0.022936840237162533,0.4415761009565975
traj_0297,stall,0.5,2.52,2.02,-1.0,validity_envelope_gamma_exceeded,0.03995937854283203,31.707133264393573,-0.06880009278759579,0.9379535112786059,0.23684703156955508,0.24048071937641696
traj_0297,stall,0.0,2.52,2.52,-1.0,validity_envelope_gamma_exceeded,0.2823925110852672,32.67025947202579,-0.33790309731946133,0.9651614867262092,0.25109394833173976,-0.0019524131660181854
traj_0302,stall,5.0,6.57,1.57,1.0,completed_normally,0.050690241311194956,49.448250696771716,-9.287535450454933e-14,-5.179113745448559e-14,0.015840700409738853,0.22974985660805405
traj_0302,stall,4.0,6.57,2.57,1.0,completed_normally,0.05069024131119321,49.44825069677265,-1.414148246252555e-13,-4.887347019378829e-14,0.015840700409738853,0.2297498566080558
traj_0302,stall,3.0,6.57,3.5700000000000003,1.0,completed_normally,0.05102001525532245,49.27092331380248,-0.00041622547458465103,-0.00035438019648156854,0.015840700409738853,0.22942008266392655
traj_0302,stall,2.0,6.57,4.57,1.0,completed_normally,0.051539887413410354,49.03579044023372,-0.0017743965603842834,-0.0012846171738326094,0.015840700409738853,0.22890021050583864
traj_0302,stall,1.0,6.57,5.57,1.0,completed_normally,0.05148761572015325,49.063010013656175,-0.0031013927639556046,-0.0013571042099197342,0.015840700409738853,0.22895248219909575
traj_0302,stall,0.5,6.57,6.07,1.0,completed_normally,0.09417292167728007,49.05352525738299,0.005705006307573048,0.40969582477957467,0.18235712125068804,0.18626717624196892
traj_0302,stall,0.0,6.57,6.57,1.0,completed_normally,0.28053383556086753,48.05465100853152,0.16608968942243735,0.7687751057066908,0.22335742437877515,-9.373764161851872e-05
traj_0312,near_boundary,5.0,7.1000000000000005,2.1,1.0,completed_normally,0.04254628677000542,51.95764444034918,-5.072145373652223e-13,-2.1416602228501967e-13,0.013295714615586986,0.23789381114924357
traj_0312,near_boundary,4.0,7.1000000000000005,3.1,1.0,completed_normally,0.042546286769996854,51.95764444035429,-7.066049678263906e-13,-2.0089924017489232e-13,0.013295714615586986,0.23789381114925215
traj_0312,near_boundary,3.0,7.1000000000000005,4.1,1.0,completed_normally,0.042546286769985106,51.957644440361186,-8.869205544157719e-13,-1.8239873482469887e-13,0.013295714615586986,0.2378938111492639
traj_0312,near_boundary,2.0,7.1000000000000005,5.1000000000000005,1.0,completed_normally,0.04254628676997064,51.95764444036953,-1.0435927092581628e-12,-1.591930541849103e-13,0.013295714615586986,0.23789381114927838
traj_0312,near_boundary,1.0,7.1000000000000005,6.1000000000000005,1.0,completed_normally,0.06015555179983804,51.946802536421345,0.0037713529760039157,0.1875575549979192,0.0968649165979221,0.22028454611941098
traj_0312,near_boundary,0.5,7.1000000000000005,6.6000000000000005,1.0,completed_normally,0.19636573420700515,51.43834246589689,0.10011688236813097,0.6701364767472245,0.19721831917101743,0.08407436371224386
traj_0312,near_boundary,0.0,7.1000000000000005,7.1000000000000005,1.0,completed_normally,0.2807925222104235,49.26946347455452,0.3422278822714905,0.5810516612981094,0.17707040651288483,-0.00035242429117449126
traj_0318,stall,3.0,3.11,0.11,1.0,completed_normally,0.07003923686867376,44.66900544310646,-7.101209411669638e-15,-2.6531352414073113e-15,0.02188726152145836,0.21040086105057526
traj_0318,stall,2.0,3.11,1.11,1.0,completed_normally,0.07003923686868643,44.66900544310646,-4.264113450499472e-14,-3.232481007176741e-14,0.02188726152145836,0.21040086105056258
traj_0318,stall,1.0,3.11,2.11,1.0,completed_normally,0.07003923686868467,44.66900544310709,-7.254124341831468e-14,-3.056612925009985e-14,0.02188726152145836,0.21040086105056433
traj_0318,stall,0.5,3.11,2.61,1.0,completed_normally,0.0749564441999668,44.66789952573725,0.00040514590764523565,0.10593767789883726,0.10216438372965489,0.2054836537192822
traj_0318,stall,0.0,3.11,3.11,1.0,completed_normally,0.2836232499515297,44.1527473826418,0.09549966115328588,0.9330069380907329,0.2694009889245235,-0.0031831520322807005
traj_0324,stall,5.0,5.0,0.0,-1.0,validity_envelope_gamma_exceeded,-0.004201067457369232,72.4451952411206,0.0,-0.0,-0.001312833580427885,0.28464116537661827
traj_0324,stall,4.0,5.0,1.0,-1.0,validity_envelope_gamma_exceeded,-0.004201067457323064,72.4451952411206,9.535994967262663e-14,-7.586047311293862e-14,-0.001312833580427885,0.2846411653765721
traj_0324,stall,3.0,5.0,2.0,-1.0,validity_envelope_gamma_exceeded,-0.0042010674573248925,72.44519524111918,1.6893894753451017e-13,-7.431791340276663e-14,-0.001312833580427885,0.2846411653765739
traj_0324,stall,2.0,5.0,3.0,-1.0,validity_envelope_gamma_exceeded,-0.0042010674573259525,72.44519524111776,2.4128236361659953e-13,-7.251299661604964e-14,-0.001312833580427885,0.28464116537657497
traj_0324,stall,1.0,5.0,4.0,-1.0,validity_envelope_gamma_exceeded,0.00035579327721911493,72.4459784913762,-0.00047185304745414494,0.12839337338134926,0.11563273904223254,0.2800843046420299
traj_0324,stall,0.5,5.0,4.5,-1.0,validity_envelope_gamma_exceeded,0.21488974541829856,72.45421368631372,-0.18278593479689978,1.126975706364673,0.2834350778901805,0.06555035250095045
traj_0324,stall,0.0,5.0,5.0,-1.0,validity_envelope_gamma_exceeded,0.2806643892133961,72.49200200712248,-0.6691200655238714,1.0688730722634383,0.2834350778901805,-0.00022429129414708315
