trajectory_id,regime,termination_reason,t_cross,time_alpha8_to_cross_s,time_alpha12_to_cross_s,t_elev_peak_minus_t_cross_s,elevator_peak_rad,elevator_hold_ge80pct_after_cross_s,duration_actual_s
traj_0431,near_boundary,completed_normally,1.8900000000000001,0.52,0.18000000000000016,-0.030000000000000027,0.23323476846364666,0.43,20.0
traj_0443,stall,validity_envelope_gamma_exceeded,3.14,0.8799999999999999,0.6800000000000002,-1.0700000000000003,0.20614129519738617,0.44,3.5700000000000003
traj_0448,stall,completed_normally,5.84,0.2599999999999998,0.09999999999999964,-0.08000000000000007,0.35822167021582363,4.26,20.0
traj_0449,near_boundary,completed_normally,3.8200000000000003,0.3700000000000001,0.18000000000000016,-0.2100000000000004,0.21688927748257222,0.46,20.0
traj_0455,stall,validity_envelope_gamma_exceeded,1.76,0.5800000000000001,0.4099999999999999,-0.77,0.2529151462381602,0.4,2.15
traj_0464,stall,validity_envelope_gamma_exceeded,5.75,0.7199999999999998,0.5099999999999998,-0.6600000000000001,0.25608717621008165,0.19,5.93
traj_0474,stall,completed_normally,5.71,0.28000000000000025,0.14999999999999947,-0.22999999999999954,0.288909538931295,8.14,20.0
traj_0475,stall,validity_envelope_gamma_exceeded,4.78,0.5499999999999998,0.35000000000000053,-0.39000000000000057,0.2610347678698872,0.43,5.2
traj_0487,stall,validity_envelope_gamma_exceeded,4.91,0.3799999999999999,0.23000000000000043,-0.4400000000000004,0.2685468099425748,1.22,6.12
traj_0492,near_boundary,completed_normally,5.3,0.5199999999999996,0.2999999999999998,-0.2699999999999996,0.20810362686791545,0.5700000000000001,20.0
traj_0497,near_boundary,completed_normally,2.5500000000000003,,0.16000000000000014,-0.0900000000000003,0.2442491772323229,0.73,20.0
traj_0499,stall,validity_envelope_gamma_exceeded,3.45,0.54,0.3500000000000001,-0.4900000000000002,0.23889045083701813,0.63,4.07
traj_0510,stall,validity_envelope_gamma_exceeded,6.54,0.7000000000000002,0.5199999999999996,-0.8499999999999996,0.24734989358102208,0.28,6.8100000000000005
traj_0522,stall,completed_normally,3.08,0.2799999999999998,0.16000000000000014,-0.3799999999999999,0.2597818931452148,3.8200000000000003,20.0
traj_0528,stall,completed_normally,4.9,0.29000000000000004,0.16000000000000014,-0.25,0.29335191454401166,5.2,20.0
traj_0552,stall,validity_envelope_gamma_exceeded,2.47,0.7300000000000002,0.5400000000000003,-0.7900000000000003,0.2566846251262396,0.18,2.64
traj_0565,stall,validity_envelope_gamma_exceeded,2.67,0.3899999999999997,0.22999999999999998,-0.2999999999999998,0.2918427028503032,0.81,3.47
traj_0568,near_boundary,completed_normally,4.87,0.5199999999999996,0.2999999999999998,-0.2999999999999998,0.2066003765281902,0.25,20.0
traj_0570,stall,completed_normally,5.73,0.3000000000000007,0.1299999999999999,0.009999999999999787,0.30296198081520276,7.79,20.0
traj_0574,stall,completed_normally,4.01,0.3599999999999999,0.1299999999999999,-0.09999999999999964,0.2850071344740737,8.47,20.0
traj_0575,stall,validity_envelope_gamma_exceeded,2.92,0.94,0.7199999999999998,-0.9299999999999999,0.22029988676643542,0.2,3.11
traj_0583,near_boundary,completed_normally,6.78,,0.3200000000000003,-0.08000000000000007,0.16741268756445613,0.42,20.0
traj_0585,stall,validity_envelope_gamma_exceeded,2.61,0.3999999999999999,0.25,-0.54,0.27976685108003013,0.67,3.27
