trajectory_id,regime,cross_sign,termination_reason,corrected_precursor_s,t_8_to_16_s,t_12_to_16_s,classification,max_alpha_deg,gamma_at_cross_deg,max_gamma_pre_cross_deg
traj_02352,gradual_approach_v3,1.0,completed_normally,1.129999999999999,1.1099999999999994,0.5199999999999996,gradual_monotonic_low_gamma,21.957330974346416,29.386515153056315,31.82349440966486
traj_02383,gradual_approach_v3,1.0,completed_normally,,,0.9800000000000004,gradual_monotonic_low_gamma,27.72180974251705,8.917576469982139,8.917576469982139
traj_02409,gradual_approach_v3,1.0,completed_normally,1.6800000000000002,1.65,0.8399999999999999,gradual_monotonic_low_gamma,29.27861742308218,12.34176119892321,12.34176119892321
traj_02411,gradual_approach_v3,1.0,completed_normally,,,0.6899999999999995,gradual_monotonic_low_gamma,26.980223304755665,12.23636921895345,12.878498036831152
traj_02452,gradual_approach_v3,1.0,completed_normally,4.69,4.669999999999999,0.47999999999999954,gradual_monotonic_low_gamma,19.01677080761995,22.998680753703102,28.357900411560927
traj_02458,gradual_approach_v3,1.0,completed_normally,4.73,4.709999999999999,0.4299999999999997,gradual_monotonic_low_gamma,23.891291250558243,22.707868474247398,29.978853904514747
traj_02459,gradual_approach_v3,1.0,completed_normally,5.25,5.23,0.5999999999999996,gradual_monotonic_low_gamma,20.865952409818355,16.031863815851825,26.845638233616366
traj_02472,gradual_approach_v3,1.0,completed_normally,4.88,4.86,0.5800000000000001,gradual_monotonic_low_gamma,16.609330935368742,22.60585497814427,27.35016577166368
traj_02491,gradual_approach_v3,1.0,completed_normally,,,0.69,gradual_monotonic_low_gamma,22.937120767777806,4.973387041161758,4.973387041161758
traj_02503,gradual_approach_v3,1.0,completed_normally,4.83,4.8100000000000005,0.6299999999999999,gradual_monotonic_low_gamma,27.078576160473574,17.16025953146483,25.003406187256957
traj_02504,gradual_approach_v3,1.0,completed_normally,,,0.6600000000000001,gradual_monotonic_low_gamma,29.071147490118552,11.711086800374499,14.977042391917129
traj_02512,gradual_approach_v3,1.0,completed_normally,5.63,5.61,0.7999999999999998,gradual_monotonic_low_gamma,23.709731091918677,10.831883506342779,16.904524694976008
traj_02513,gradual_approach_v3,1.0,completed_normally,4.640000000000001,4.619999999999999,0.7699999999999996,gradual_monotonic_low_gamma,23.274353572962806,14.3223188211397,14.3223188211397
traj_02515,gradual_approach_v3,1.0,completed_normally,3.66,3.629999999999999,0.9699999999999989,gradual_monotonic_low_gamma,16.683816301191424,3.1951754201092664,35.464985489881386
traj_02516,gradual_approach_v3,1.0,completed_normally,2.0999999999999996,2.0599999999999987,1.0199999999999996,gradual_monotonic_low_gamma,16.519162322171187,16.59730909003986,18.789823459287163
traj_02538,gradual_approach_v3,1.0,completed_normally,1.6199999999999992,1.5999999999999996,0.7200000000000006,gradual_monotonic_low_gamma,19.604930106347812,17.13576355570805,17.240483841508947
traj_02539,gradual_approach_v3,1.0,completed_normally,1.88,1.8399999999999999,0.8599999999999999,gradual_monotonic_low_gamma,30.054000154286687,11.2418476570814,11.2418476570814
traj_02544,gradual_approach_v3,1.0,completed_normally,,,1.3200000000000003,gradual_monotonic_low_gamma,27.017481947728644,5.475230842484961,5.475230842484961
traj_02557,gradual_approach_v3,1.0,completed_normally,4.4,4.390000000000001,0.45000000000000107,gradual_monotonic_low_gamma,22.96119227031567,28.11132981406921,32.0884756131714
traj_02562,gradual_approach_v3,1.0,completed_normally,4.84,4.8100000000000005,1.0200000000000005,gradual_monotonic_low_gamma,18.2667596693433,15.264947167455373,17.606810063726183
traj_02565,gradual_approach_v3,1.0,completed_normally,,,0.6100000000000003,gradual_monotonic_low_gamma,27.76528850067439,7.08097318011918,7.08097318011918
traj_02575,gradual_approach_v3,1.0,completed_normally,4.6899999999999995,4.67,0.7699999999999996,gradual_monotonic_low_gamma,18.752263339824907,14.71670563220815,15.35796285874903
traj_02582,gradual_approach_v3,1.0,completed_normally,4.8100000000000005,4.790000000000001,0.5800000000000001,gradual_monotonic_low_gamma,19.80789519386062,16.775662029905376,20.770155203968944
traj_02621,gradual_approach_v3,1.0,completed_normally,,,0.9000000000000004,gradual_monotonic_low_gamma,22.38693098240059,4.852901126835837,4.852901126835837
traj_02638,gradual_approach_v3,1.0,completed_normally,4.9799999999999995,4.96,0.6099999999999994,gradual_monotonic_low_gamma,26.04866472402604,13.6533346019173,17.205051515991524
traj_02647,gradual_approach_v3,1.0,completed_normally,5.01,4.98,0.8200000000000003,gradual_monotonic_low_gamma,16.4100167136512,17.08672314610658,22.067249518861136
traj_02653,gradual_approach_v3,1.0,completed_normally,,,0.8300000000000001,gradual_monotonic_low_gamma,29.588462445294333,8.732445235839801,8.732445235839801
traj_02654,gradual_approach_v3,1.0,completed_normally,1.2699999999999996,1.2399999999999984,0.6399999999999988,gradual_monotonic_low_gamma,16.346360288938488,24.329504719453006,24.329504719453006
traj_02663,gradual_approach_v3,1.0,completed_normally,,,0.6900000000000004,gradual_monotonic_low_gamma,27.29386618583714,4.049810704667351,4.049810704667351
traj_02677,gradual_approach_v3,1.0,completed_normally,1.12,1.0999999999999996,0.5199999999999996,gradual_monotonic_low_gamma,20.015471047580977,29.9698739953502,32.883393817018884
traj_02681,gradual_approach_v3,1.0,completed_normally,,,0.6900000000000004,gradual_monotonic_low_gamma,26.021252174799585,3.885454837845878,3.885454837845878
